DISTRITO,SEXO,POBLACION_DEPENDIENTE
Nicoya            ,Mujeres,4116
Nicoya            ,Hombres,4071
San Antonio       ,Mujeres,1159
San Antonio       ,Hombres,1126
Mansión           ,Hombres,1030
Mansión           ,Mujeres,955
Nosara            ,Hombres,855
Nosara            ,Mujeres,804
Sámara            ,Hombres,582
Sámara            ,Mujeres,552
Belén de Nosarita ,Hombres,496
Belén de Nosarita ,Mujeres,475
Quebrada Honda    ,Mujeres,433
Quebrada Honda    ,Hombres,424
