Distrito,Total del distrito,Hombres con riesgo alto y alto medio,Mujeres con riesgo alto y alto medio,Total con riesgo alto y alto medio,Proporción de riesgo alto y medio
Liberia           ,53382,16270.0,16552.0,32822,0.614851448053651
Cañas Dulces      ,3230,251.0,214.0,465,0.14396284829721362
Curubandé         ,2527,559.0,623.0,1182,0.4677483181638306
Nacascolo         ,2249,366.0,398.0,764,0.33970653623832814
Mayorga           ,1599,0.0,0.0,0,0.0
