Distrito,Total del distrito,Hombres con riesgo alto y alto medio,Mujeres con riesgo alto y alto medio,Total con riesgo alto y alto medio,Proporción de riesgo alto y medio
Liberia           ,53382,12841,12857,25698,0.48139822412049005
Cañas Dulces      ,3230,1584,1560,3144,0.973374613003096
Curubandé         ,2527,918,970,1888,0.7471309853581322
Nacascolo         ,2249,213,254,467,0.20764784348599377
Mayorga           ,1599,777,822,1599,1.0
