DISTRITO,COD_DIST,UGM,P10_Mean,P10_Dstdev,AMENAZA_SECA_NORMALIZACION_BASE_100,CATEGORIA_AMENAZA_SECA
Liberia           ,50101,38541,1066.509,2.614,81.355,Alto
Liberia           ,50101,38555,1103.425,1.498,75.23,Medio
Liberia           ,50101,38563,1106.406,2.0,74.736,Medio
Liberia           ,50101,38575,1080.001,1.892,79.116,Alto Medio
Liberia           ,50101,38584,1097.642,1.513,76.19,Medio
Liberia           ,50101,38589,1096.167,1.436,76.435,Medio
Liberia           ,50101,38592,1100.306,0.168,75.748,Medio
Liberia           ,50101,38595,1079.872,2.532,79.138,Alto Medio
Liberia           ,50101,38606,1083.63,0.304,78.514,Alto Medio
Liberia           ,50101,38611,1074.662,1.58,80.002,Alto Medio
Liberia           ,50101,38626,1084.164,1.245,78.426,Alto Medio
Liberia           ,50101,38627,1056.538,2.786,83.009,Alto
Liberia           ,50101,38639,1191.028,7.096,60.698,Bajo Medio
Liberia           ,50101,38662,1103.797,1.577,75.169,Medio
Liberia           ,50101,38668,1086.359,0.0,78.062,Alto Medio
Liberia           ,50101,38678,1112.133,1.854,73.786,Bajo Medio
Liberia           ,50101,38702,1104.982,1.596,74.972,Medio
Liberia           ,50101,38726,1103.611,0.142,75.2,Medio
Liberia           ,50101,38730,1104.638,1.685,75.029,Medio
Liberia           ,50101,38740,1104.367,0.282,75.074,Medio
Liberia           ,50101,38750,1088.948,1.94,77.632,Alto Medio
Liberia           ,50101,38758,1084.38,1.674,78.39,Alto Medio
Liberia           ,50101,38796,1098.101,1.483,76.114,Medio
Liberia           ,50101,38797,1095.093,0.0,76.613,Medio
Liberia           ,50101,38817,1105.266,1.462,74.925,Medio
Liberia           ,50101,38831,1107.89,1.587,74.49,Medio
Liberia           ,50101,38839,1077.176,1.356,79.585,Alto Medio
Liberia           ,50101,38840,1062.697,2.06,81.987,Alto
Liberia           ,50101,38844,1101.133,0.0,75.611,Medio
Liberia           ,50101,38854,1085.169,1.974,78.259,Alto Medio
Liberia           ,50101,38856,1083.18,0.488,78.589,Alto Medio
Liberia           ,50101,38858,1099.236,1.45,75.925,Medio
Liberia           ,50101,38859,1090.448,1.063,77.383,Alto Medio
Liberia           ,50101,38867,1096.893,1.99,76.314,Medio
Liberia           ,50101,38876,1064.407,1.651,81.703,Alto
Liberia           ,50101,38878,1102.596,1.689,75.368,Medio
Liberia           ,50101,38879,1107.212,0.102,74.602,Medio
Liberia           ,50101,38885,1086.271,1.431,78.076,Alto Medio
Liberia           ,50101,38886,1090.864,1.442,77.314,Medio
Liberia           ,50101,38893,1088.25,1.542,77.748,Alto Medio
Liberia           ,50101,38901,1114.654,0.109,73.368,Bajo Medio
Liberia           ,50101,38903,1077.364,0.518,79.554,Alto Medio
Liberia           ,50101,38911,1134.314,0.104,70.106,Bajo Medio
Liberia           ,50101,38929,1104.188,1.801,75.104,Medio
Liberia           ,50101,38933,1104.871,0.0,74.991,Medio
Liberia           ,50101,38934,1063.122,1.701,81.916,Alto
Liberia           ,50101,38935,1103.809,0.0,75.167,Medio
Liberia           ,50101,38943,1079.579,1.568,79.186,Alto Medio
Liberia           ,50101,38949,1108.17,0.139,74.443,Medio
Liberia           ,50101,38971,1107.987,0.177,74.474,Medio
Liberia           ,50101,38978,1087.204,0.306,77.921,Alto Medio
Liberia           ,50101,38987,1086.062,1.019,78.111,Alto Medio
Liberia           ,50101,38990,1104.315,0.0,75.083,Medio
Liberia           ,50101,39037,1081.487,2.007,78.87,Alto Medio
Liberia           ,50101,39041,1106.1,1.569,74.787,Medio
Liberia           ,50101,39061,1120.711,0.0,72.363,Bajo Medio
Liberia           ,50101,39071,1106.634,1.773,74.698,Medio
Liberia           ,50101,39073,1073.144,1.602,80.254,Alto Medio
Liberia           ,50101,39080,1106.339,1.626,74.747,Medio
Liberia           ,50101,39119,1073.902,1.694,80.128,Alto Medio
Liberia           ,50101,39121,1079.61,1.503,79.181,Alto Medio
Liberia           ,50101,39122,1108.374,0.132,74.409,Medio
Liberia           ,50101,39129,1108.316,1.641,74.419,Medio
Liberia           ,50101,39132,1088.45,1.533,77.715,Alto Medio
Liberia           ,50101,39134,1100.168,0.136,75.771,Medio
Liberia           ,50101,39139,1110.617,1.485,74.037,Medio
Liberia           ,50101,39140,1085.981,2.281,78.124,Alto Medio
Liberia           ,50101,39151,1085.57,0.0,78.193,Alto Medio
Liberia           ,50101,39156,1086.068,0.444,78.11,Alto Medio
Liberia           ,50101,39158,1110.398,0.154,74.074,Medio
Liberia           ,50101,39161,1082.069,1.827,78.773,Alto Medio
Liberia           ,50101,39166,1121.608,1.698,72.214,Bajo Medio
Liberia           ,50101,39171,1106.473,1.943,74.725,Medio
Liberia           ,50101,39199,1104.465,1.88,75.058,Medio
Liberia           ,50101,39204,1083.003,1.542,78.618,Alto Medio
Liberia           ,50101,39210,1082.79,0.0,78.654,Alto Medio
Liberia           ,50101,39214,1068.861,1.581,80.964,Alto
Liberia           ,50101,39218,1120.486,0.021,72.4,Bajo Medio
Liberia           ,50101,39251,1120.066,1.644,72.47,Bajo Medio
Liberia           ,50101,39290,1104.437,1.481,75.063,Medio
Liberia           ,50101,39319,1092.619,2.019,77.023,Medio
Liberia           ,50101,39320,1057.038,2.809,82.926,Alto
Liberia           ,50101,39324,1101.421,0.205,75.563,Medio
Liberia           ,50101,39327,1102.284,0.175,75.42,Medio
Liberia           ,50101,39334,1124.076,1.726,71.805,Bajo Medio
Liberia           ,50101,39354,1112.907,2.03,73.657,Bajo Medio
Liberia           ,50101,39356,1085.57,0.0,78.193,Alto Medio
Liberia           ,50101,39379,1085.917,1.055,78.135,Alto Medio
Liberia           ,50101,39380,1109.397,1.621,74.24,Medio
Liberia           ,50101,39384,1063.994,0.0,81.772,Alto
Liberia           ,50101,39413,1079.852,1.479,79.141,Alto Medio
Liberia           ,50101,39414,1087.224,0.0,77.918,Alto Medio
Liberia           ,50101,39418,1104.47,1.971,75.057,Medio
Liberia           ,50101,39421,1100.725,1.652,75.678,Medio
Liberia           ,50101,39436,1088.461,1.897,77.713,Alto Medio
Liberia           ,50101,39439,1057.58,2.649,82.836,Alto
Liberia           ,50101,39454,1117.607,1.528,72.878,Bajo Medio
Liberia           ,50101,39502,1086.108,0.0,78.103,Alto Medio
Liberia           ,50101,39507,1103.266,1.36,75.257,Medio
Liberia           ,50101,39508,1090.874,1.64,77.313,Medio
Liberia           ,50101,39509,1085.837,0.271,78.148,Alto Medio
Liberia           ,50101,39522,1104.117,1.95,75.116,Medio
Liberia           ,50101,39525,1021.881,9.519,88.758,Alto
Liberia           ,50101,39529,975.273,1.496,96.49,Alto
Liberia           ,50101,39566,1099.484,0.0,75.884,Medio
Liberia           ,50101,39577,1099.889,0.292,75.817,Medio
Liberia           ,50101,39580,1087.329,1.619,77.901,Alto Medio
Liberia           ,50101,39581,1086.086,1.217,78.107,Alto Medio
Liberia           ,50101,39600,1059.144,1.32,82.576,Alto
Liberia           ,50101,39616,1117.747,0.077,72.855,Bajo Medio
Liberia           ,50101,39617,1117.961,0.087,72.819,Bajo Medio
Liberia           ,50101,39635,1107.987,0.177,74.474,Medio
Liberia           ,50101,39657,1084.117,1.888,78.433,Alto Medio
Liberia           ,50101,39674,1050.295,0.965,84.044,Alto
Liberia           ,50101,39696,1101.678,1.477,75.52,Medio
Liberia           ,50101,39723,1090.9,1.437,77.308,Medio
Liberia           ,50101,39728,1089.664,0.404,77.513,Alto Medio
Liberia           ,50101,39732,1100.972,1.709,75.637,Medio
Liberia           ,50101,39740,1107.171,1.871,74.609,Medio
Liberia           ,50101,39772,1117.7,0.0,72.862,Bajo Medio
Liberia           ,50101,39796,1100.082,1.934,75.785,Medio
Liberia           ,50101,39831,1083.302,1.007,78.569,Alto Medio
Liberia           ,50101,39905,1089.403,2.151,77.557,Alto Medio
Liberia           ,50101,39907,1087.891,1.656,77.807,Alto Medio
Liberia           ,50101,39913,1090.56,0.509,77.365,Alto Medio
Liberia           ,50101,39922,1091.753,1.597,77.167,Medio
Liberia           ,50101,39924,1091.554,0.926,77.2,Medio
Liberia           ,50101,39933,1140.677,1.889,69.051,Bajo Medio
Liberia           ,50101,39944,1123.882,0.028,71.837,Bajo Medio
Liberia           ,50101,39947,1103.158,0.235,75.275,Medio
Liberia           ,50101,39964,1074.643,1.518,80.005,Alto Medio
Liberia           ,50101,39982,1108.557,1.795,74.379,Medio
Liberia           ,50101,39998,1055.041,1.665,83.257,Alto
Liberia           ,50101,39999,1097.027,0.19,76.292,Medio
Liberia           ,50101,40011,1080.096,1.434,79.101,Alto Medio
Liberia           ,50101,40016,1098.424,1.317,76.06,Medio
Liberia           ,50101,40025,1106.738,1.634,74.681,Medio
Liberia           ,50101,40032,1102.888,1.73,75.32,Medio
Liberia           ,50101,40038,1053.805,1.752,83.462,Alto
Liberia           ,50101,40089,1088.631,1.837,77.685,Alto Medio
Liberia           ,50101,40128,1083.081,1.633,78.605,Alto Medio
Liberia           ,50101,40134,1054.67,1.261,83.318,Alto
Liberia           ,50101,40158,1085.42,0.354,78.217,Alto Medio
Liberia           ,50101,40231,1087.498,0.46,77.873,Alto Medio
Liberia           ,50101,40233,1099.337,1.815,75.909,Medio
Liberia           ,50101,40242,1067.436,0.41,81.201,Alto
Liberia           ,50101,40250,1115.754,1.604,73.185,Bajo Medio
Liberia           ,50101,40276,1072.775,1.553,80.315,Alto Medio
Liberia           ,50101,40286,1101.554,1.58,75.541,Medio
Liberia           ,50101,40313,1104.871,0.0,74.991,Medio
Liberia           ,50101,40327,1091.212,0.376,77.257,Medio
Liberia           ,50101,40328,1084.257,1.535,78.41,Alto Medio
Liberia           ,50101,40340,1091.747,1.602,77.168,Medio
Liberia           ,50101,40419,1109.272,1.754,74.26,Medio
Liberia           ,50101,40422,1048.819,1.469,84.289,Alto
Liberia           ,50101,40424,1089.022,2.062,77.62,Alto Medio
Liberia           ,50101,40437,1085.599,0.361,78.188,Alto Medio
Liberia           ,50101,40441,1105.577,1.488,74.873,Medio
Liberia           ,50101,40463,1133.664,2.086,70.214,Bajo Medio
Liberia           ,50101,40465,1107.099,0.0,74.621,Medio
Liberia           ,50101,40467,1138.406,2.033,69.427,Bajo Medio
Liberia           ,50101,40496,1113.497,2.45,73.56,Bajo Medio
Liberia           ,50101,40523,1091.62,1.443,77.189,Medio
Liberia           ,50101,40529,1080.8,0.493,78.984,Alto Medio
Liberia           ,50101,40534,1088.245,1.568,77.749,Alto Medio
Liberia           ,50101,40547,1111.592,1.63,73.876,Bajo Medio
Liberia           ,50101,40574,1089.732,1.473,77.502,Alto Medio
Liberia           ,50101,40589,1088.891,1.166,77.642,Alto Medio
