DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,EXPOSICION_NORMALIZACION_BASE_100,CATEGORIA_EXPOSICION
Liberia           ,50101,39436,58,25,33,6.956521739130435,Medio
Liberia           ,50101,39439,140,69,71,17.142857142857142,Alto-medio
Liberia           ,50101,39454,72,34,38,8.695652173913043,Medio
Liberia           ,50101,39502,45,21,24,5.341614906832298,Bajo-medio
Liberia           ,50101,39507,28,20,8,3.229813664596273,Bajo-medio
Liberia           ,50101,39508,51,21,30,6.086956521739131,Bajo-medio
Liberia           ,50101,39509,95,46,49,11.5527950310559,Medio
Liberia           ,50101,39522,104,51,53,12.670807453416149,Alto-medio
Liberia           ,50101,39525,41,24,17,4.84472049689441,Bajo-medio
Liberia           ,50101,39529,38,22,16,4.472049689440994,Bajo-medio
Liberia           ,50101,39566,33,12,21,3.8509316770186333,Bajo-medio
Liberia           ,50101,39577,23,9,14,2.608695652173913,Bajo
Liberia           ,50101,39580,32,14,18,3.7267080745341614,Bajo-medio
Liberia           ,50101,39581,23,11,12,2.608695652173913,Bajo
Liberia           ,50101,39600,70,34,36,8.4472049689441,Medio
Liberia           ,50101,39616,79,36,43,9.565217391304348,Medio
Liberia           ,50101,39617,134,67,67,16.39751552795031,Alto-medio
Liberia           ,50101,39635,47,20,27,5.590062111801243,Bajo-medio
Liberia           ,50101,39657,25,11,14,2.857142857142857,Bajo-medio
Liberia           ,50101,39674,34,18,16,3.9751552795031055,Bajo-medio
Liberia           ,50101,39696,151,79,72,18.509316770186334,Alto-medio
Liberia           ,50101,39723,113,55,58,13.788819875776397,Alto-medio
Liberia           ,50101,39728,187,92,95,22.981366459627328,Alto
Liberia           ,50101,39732,107,53,54,13.043478260869565,Alto-medio
Liberia           ,50101,39740,38,21,17,4.472049689440994,Bajo-medio
Liberia           ,50101,39772,80,36,44,9.68944099378882,Medio
Liberia           ,50101,39796,265,125,140,32.67080745341615,Alto
Liberia           ,50101,39831,153,70,83,18.757763975155278,Alto-medio
Liberia           ,50101,39905,118,61,57,14.409937888198757,Alto-medio
Liberia           ,50101,39907,120,58,62,14.658385093167702,Alto-medio
Liberia           ,50101,39913,31,16,15,3.602484472049689,Bajo-medio
Liberia           ,50101,39922,84,37,47,10.186335403726709,Medio
Liberia           ,50101,39924,235,104,131,28.944099378881987,Alto
Liberia           ,50101,39933,48,22,26,5.714285714285714,Bajo-medio
Liberia           ,50101,39944,73,40,33,8.819875776397515,Medio
Liberia           ,50101,39947,82,34,48,9.937888198757763,Medio
Liberia           ,50101,39964,56,28,28,6.70807453416149,Medio
Liberia           ,50101,39982,114,54,60,13.91304347826087,Alto-medio
Liberia           ,50101,39998,144,64,80,17.63975155279503,Alto-medio
Liberia           ,50101,39999,52,23,29,6.211180124223603,Bajo-medio
Liberia           ,50101,40011,21,8,13,2.360248447204969,Bajo
Liberia           ,50101,40016,212,94,118,26.08695652173913,Alto
Liberia           ,50101,40025,42,18,24,4.968944099378882,Bajo-medio
Liberia           ,50101,40032,68,31,37,8.198757763975156,Medio
Liberia           ,50101,40038,74,39,35,8.944099378881988,Medio
Liberia           ,50101,40089,60,27,33,7.204968944099378,Medio
Liberia           ,50101,40128,46,20,26,5.46583850931677,Bajo-medio
Liberia           ,50101,40134,239,104,135,29.440993788819874,Alto
Liberia           ,50101,40158,19,7,12,2.111801242236025,Bajo
Liberia           ,50101,40231,54,27,27,6.459627329192546,Medio
Liberia           ,50101,40233,135,57,78,16.52173913043478,Alto-medio
Liberia           ,50101,40242,56,30,26,6.70807453416149,Medio
Liberia           ,50101,40250,72,41,31,8.695652173913043,Medio
Liberia           ,50101,40276,73,39,34,8.819875776397515,Medio
