DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Liberia           ,50101,38541,65,28,37,21.767265128747503,7.82608695652174,81.355,110.94835208526925,31.18867248349893,Alto-medio
Liberia           ,50101,38555,61,22,39,17.19258346454945,7.329192546583851,75.23,99.7517760111333,26.443072307604087,Medio
Liberia           ,50101,38563,73,31,42,12.752273329569592,8.819875776397515,74.736,96.30814910596712,24.98351214040056,Bajo-medio
Liberia           ,50101,38575,44,16,28,14.564584635455272,5.217391304347826,79.116,98.8979759398031,26.08119437797136,Medio
Liberia           ,50101,38584,182,90,92,29.755347035120426,22.36024844720497,76.19,128.3055954823254,38.54543376236837,Alto
Liberia           ,50101,38589,16,8,8,20.787360695538666,1.7391304347826086,76.435,98.96149113032128,26.10811490236197,Medio
Liberia           ,50101,38592,69,33,36,8.581397478232262,8.322981366459627,75.748,92.6523788446919,23.434036311355413,Bajo-medio
Liberia           ,50101,38595,202,107,95,17.46387861304088,24.84472049689441,79.138,121.44659910993529,35.63829016992076,Alto
Liberia           ,50101,38606,106,50,56,9.988400387728467,12.919254658385093,78.514,101.42165504611356,27.150840306468595,Medio
Liberia           ,50101,38611,30,15,15,13.704815849057855,3.4782608695652173,80.002,97.18507671862307,25.35519253673889,Medio
Liberia           ,50101,38626,90,46,44,20.711873960247303,10.93167701863354,78.426,110.06955097888084,30.816198018319607,Alto-medio
Liberia           ,50101,38627,79,33,46,15.34928842502126,9.565217391304348,83.009,107.92350581632562,29.90660992339959,Alto-medio
Liberia           ,50101,38639,13,4,9,17.970988810853065,1.3664596273291925,60.698,80.03544843818226,18.086427653142838,Bajo
Liberia           ,50101,38662,129,57,72,24.09158782090995,15.77639751552795,75.169,115.0369853364379,32.92161463897951,Alto-medio
Liberia           ,50101,38668,27,12,15,15.275860749190603,3.1055900621118013,78.062,96.4434508113024,25.040858939313594,Medio
Liberia           ,50101,38678,50,24,26,14.126207295430989,5.962732919254658,73.786,93.87494021468565,23.95221145829937,Bajo-medio
Liberia           ,50101,38702,30,18,12,17.35533775154747,3.4782608695652173,74.972,95.80559862111268,24.77050919614956,Bajo-medio
Liberia           ,50101,38726,22,9,13,25.220101520775493,2.484472049689441,75.2,102.90457357046493,27.779366238271606,Medio
Liberia           ,50101,38730,116,45,71,16.545579643342993,14.161490683229813,75.029,105.7360703265728,28.97947879186475,Alto-medio
Liberia           ,50101,38740,40,22,18,21.10569964221964,4.720496894409938,75.074,100.90019653662958,26.929823311813823,Medio
Liberia           ,50101,38750,44,22,22,20.662135648827824,5.217391304347826,77.632,103.51152695317566,28.036619711179778,Medio
Liberia           ,50101,38758,27,12,15,12.814708291030255,3.1055900621118013,78.39,94.31029835314206,24.136735338167302,Bajo-medio
Liberia           ,50101,38796,114,49,65,22.219448371488692,13.91304347826087,76.114,112.24649184974956,31.73888106993318,Alto-medio
Liberia           ,50101,38797,27,12,15,19.255985327631773,3.1055900621118013,76.613,98.97457538974358,26.113660585560545,Medio
Liberia           ,50101,38817,118,61,57,17.595903365028423,14.409937888198757,74.925,106.93084125322719,29.48587512965078,Alto-medio
Liberia           ,50101,38831,130,67,63,24.95353742676756,15.900621118012422,74.49,115.34415854477999,33.0518081215126,Alto-medio
Liberia           ,50101,38839,65,27,38,9.861921141966686,7.82608695652174,79.585,97.27300809848842,25.39246171340439,Medio
Liberia           ,50101,38840,199,90,109,26.79878193130204,24.472049689440993,81.987,133.25783162074305,40.64440871095427,Alto
Liberia           ,50101,38844,218,100,118,14.96993291927832,26.83229813664596,75.611,117.41323105592429,33.92877182968652,Alto-medio
Liberia           ,50101,38854,87,44,43,11.75914962178277,10.559006211180124,78.259,100.57715583296289,26.79290448859579,Medio
Liberia           ,50101,38856,35,19,16,7.338412286639078,4.099378881987578,78.589,90.02679116862666,22.321197059885932,Bajo-medio
Liberia           ,50101,38858,186,104,82,11.098399950228032,22.857142857142858,75.925,109.88054280737089,30.73608806273817,Alto-medio
Liberia           ,50101,38859,12,6,6,17.315297381657544,1.2422360248447204,77.383,95.94053340650225,24.827700478291455,Bajo-medio
Liberia           ,50101,38867,105,59,46,18.892318805836403,12.79503105590062,76.314,108.00134986173703,29.93960364515441,Alto-medio
Liberia           ,50101,38876,42,19,23,11.833786029101656,4.968944099378882,81.703,98.50573012848054,25.914943393841817,Medio
Liberia           ,50101,38878,133,71,62,19.637644715929575,16.273291925465838,75.368,111.2789366413954,31.328788722366312,Alto-medio
Liberia           ,50101,38879,79,35,44,11.803408225318247,9.565217391304348,74.602,95.9706256166226,24.840454877198283,Bajo-medio
Liberia           ,50101,38885,46,11,35,10.530218875740472,5.46583850931677,78.076,94.07205738505724,24.035758363370483,Bajo-medio
Liberia           ,50101,38886,95,47,48,19.649378903094114,11.5527950310559,77.314,108.51617393415,30.157808674300924,Alto-medio
Liberia           ,50101,38893,83,36,47,11.212590087184529,10.062111801242237,77.748,99.02270188842677,26.134058707192004,Medio
Liberia           ,50101,38901,42,23,19,18.309453807261008,4.968944099378882,73.368,96.64639790663989,25.126876822365872,Medio
Liberia           ,50101,38903,45,18,27,8.985749011234532,5.341614906832298,79.554,93.88136391806682,23.95493410562421,Bajo-medio
Liberia           ,50101,38911,90,43,47,32.671223242391264,10.93167701863354,70.106,113.7089002610248,32.35871391595914,Alto-medio
Liberia           ,50101,38929,91,52,39,9.589346880376617,11.055900621118013,75.104,95.74924750149464,24.74662511932102,Bajo-medio
Liberia           ,50101,38933,110,52,58,20.184830958764305,13.41614906832298,74.991,108.59198002708729,30.18993862238461,Alto-medio
Liberia           ,50101,38934,25,17,8,18.67726351777995,2.857142857142857,81.916,103.4504063749228,28.010714128527813,Medio
Liberia           ,50101,38935,53,25,28,9.521692053483495,6.3354037267080745,75.167,91.02409578019157,22.74389850975113,Bajo-medio
Liberia           ,50101,38943,52,28,24,12.958194348737967,6.211180124223603,79.186,98.35537447296159,25.851216070367837,Medio
Liberia           ,50101,38949,60,32,28,16.098120628043088,7.204968944099378,74.443,97.74608957214247,25.592974397792904,Medio
