DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Liberia           ,50101,38541,65,28,37,21.767265128747503,7.82608695652174,24.572,54.16535208526925,16.22350723857718,Medio
Liberia           ,50101,38555,61,22,39,17.19258346454945,7.329192546583851,27.516,52.0377760111333,15.232441391228798,Medio
Liberia           ,50101,38563,73,31,42,12.752273329569592,8.819875776397515,29.417,50.98914910596711,14.743970814333956,Medio
Liberia           ,50101,38575,44,16,28,14.564584635455272,5.217391304347826,25.489,45.270975939803094,12.080335796483583,Bajo-medio
Liberia           ,50101,38584,182,90,92,29.755347035120426,22.36024844720497,28.657,80.7725954823254,28.617672854308395,Alto-medio
Liberia           ,50101,38589,16,8,8,20.787360695538666,1.7391304347826086,27.779,50.30549113032127,14.425509782944001,Medio
Liberia           ,50101,38592,69,33,36,8.581397478232262,8.322981366459627,30.083,46.98737884469189,12.879869274982433,Bajo-medio
Liberia           ,50101,38595,202,107,95,17.46387861304088,24.84472049689441,25.915,68.2235991099353,22.772109034351697,Alto-medio
Liberia           ,50101,38606,106,50,56,9.988400387728467,12.919254658385093,26.755,49.66265504611356,14.126064373566491,Medio
Liberia           ,50101,38611,30,15,15,13.704815849057855,3.4782608695652173,25.239,42.422076718623074,10.753263756629218,Bajo-medio
Liberia           ,50101,38626,90,46,44,20.711873960247303,10.93167701863354,26.655,58.29855097888084,18.14883076216501,Medio
Liberia           ,50101,38627,79,33,46,15.34928842502126,9.565217391304348,23.715,48.629505816325604,13.64480359548928,Bajo-medio
Liberia           ,50101,38639,13,4,9,17.970988810853065,1.3664596273291925,0.0,19.337448438182257,0.0,Bajo
Liberia           ,50101,38662,129,57,72,24.09158782090995,15.77639751552795,29.028,68.89598533643789,23.08531946824173,Alto-medio
Liberia           ,50101,38668,27,12,15,15.275860749190603,3.1055900621118013,22.883,41.2644508113024,10.214019348545179,Bajo
Liberia           ,50101,38678,50,24,26,14.126207295430989,5.962732919254658,30.751,50.83994021468565,14.674466443577284,Medio
Liberia           ,50101,38702,30,18,12,17.35533775154747,3.4782608695652173,28.81,49.64359862111269,14.117187524357428,Medio
Liberia           ,50101,38726,22,9,13,25.220101520775493,2.484472049689441,30.566,58.27057357046493,18.135798347336042,Medio
Liberia           ,50101,38730,116,45,71,16.545579643342993,14.161490683229813,29.97,60.6770703265728,19.2567908118249,Medio
Liberia           ,50101,38740,40,22,18,21.10569964221964,4.720496894409938,28.703,54.52919653662958,16.392992980532085,Medio
Liberia           ,50101,38750,44,22,22,20.662135648827824,5.217391304347826,26.735,52.61452695317565,15.501103070607908,Medio
Liberia           ,50101,38758,27,12,15,12.814708291030255,3.1055900621118013,26.628,42.54829835314206,10.812060221154727,Bajo-medio
Liberia           ,50101,38796,114,49,65,22.219448371488692,13.91304347826087,28.613,64.74549184974956,21.151939790634074,Alto-medio
Liberia           ,50101,38797,27,12,15,19.255985327631773,3.1055900621118013,27.541,49.902575389743575,14.237823883154116,Medio
Liberia           ,50101,38817,118,61,57,17.595903365028423,14.409937888198757,29.4,61.40584125322718,19.596266323289708,Medio
Liberia           ,50101,38831,130,67,63,24.95353742676756,15.900621118012422,28.943,69.79715854477999,23.505103277709484,Alto-medio
Liberia           ,50101,38839,65,27,38,9.861921141966686,7.82608695652174,24.532,42.22000809848842,10.659136307711746,Bajo-medio
Liberia           ,50101,38840,199,90,109,26.79878193130204,24.472049689440993,23.455,74.72583162074304,25.80097397192954,Alto-medio
Liberia           ,50101,38844,218,100,118,14.96993291927832,26.83229813664596,29.768,71.57023105592428,24.33103454852479,Alto-medio
Liberia           ,50101,38854,87,44,43,11.75914962178277,10.559006211180124,27.675,49.9931558329629,14.280017995413443,Medio
Liberia           ,50101,38856,35,19,16,7.338412286639078,4.099378881987578,26.838,38.275791168626654,8.82184421684876,Bajo
Liberia           ,50101,38858,186,104,82,11.098399950228032,22.857142857142858,28.372,62.32754280737089,20.025612630979666,Medio
Liberia           ,50101,38859,12,6,6,17.315297381657544,1.2422360248447204,24.764,43.32153340650227,11.172247977857683,Bajo-medio
Liberia           ,50101,38867,105,59,46,18.892318805836403,12.79503105590062,28.39,60.07734986173703,18.97742948703842,Medio
Liberia           ,50101,38876,42,19,23,11.833786029101656,4.968944099378882,23.7,40.502730128480536,9.859195207053444,Bajo
Liberia           ,50101,38878,133,71,62,19.637644715929575,16.273291925465838,30.293,66.20393664139542,21.83131141960408,Alto-medio
Liberia           ,50101,38879,79,35,44,11.803408225318247,9.565217391304348,30.892,52.26062561662259,15.336249022730383,Medio
Liberia           ,50101,38885,46,11,35,10.530218875740472,5.46583850931677,26.726,42.72205738505724,10.893000519503115,Bajo-medio
Liberia           ,50101,38886,95,47,48,19.649378903094114,11.5527950310559,26.675,57.877173934150015,17.952545231900753,Medio
Liberia           ,50101,38893,83,36,47,11.212590087184529,10.062111801242237,28.132,49.40670188842677,14.006836470889795,Medio
Liberia           ,50101,38901,42,23,19,18.309453807261008,4.968944099378882,31.208,54.48639790663989,16.37305655569082,Medio
Liberia           ,50101,38903,45,18,27,8.985749011234532,5.341614906832298,25.045,39.37236391806683,9.332648889976342,Bajo
Liberia           ,50101,38911,90,43,47,32.671223242391264,10.93167701863354,35.131,78.7339002610248,27.668009417336375,Alto-medio
