DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
Nicoya            ,50201,38581,48,56,104,14,9,5,6,2,4,7,1,6,12,5,7,71,33,38,27,13,14,6,2,4,0,0,0,0,0,0,0,33,15,18,104,17.098445595,97,45,52,7,3,4,2,1,1,2,1,1,1,1,0,4,2,2,1,1,0,0,0,0,1,1,0,104,7.692307692,27,14,13,13,5,8,64,29,35,40,19,21,104,18.018018018,2,2,0,34,21,13,48,13,35,15.384615384,102.5152,0,0,0,0,1,1,0,0,0,0,5,0,3,0,3,0,1,3,1,0,2,0,0,0,0,0,1,0,2,1,0,3,0,0,0,0,0,0,2,5,0,0,18.818688040536735,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,91.43373600147551,26.218084689487757,Medio
Nicoya            ,50201,38625,41,36,77,0,0,0,0,0,0,0,0,0,4,2,2,73,39,34,4,2,2,0,0,0,0,0,0,0,0,0,0,4,2,2,77,2.07253886,74,39,35,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,77,3.296703296,21,9,12,3,3,0,53,29,24,24,12,12,77,10.81081081,6,5,1,21,12,9,33,17,16,46.153846153,95.2399,0,0,0,0,1,1,0,0,1,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1,1,0,0,0,1,0,2,0,0,12.101375076518812,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,88.85693546745759,25.41076015256426,Medio
Nicoya            ,50201,38672,14,11,25,3,2,1,0,0,0,8,4,4,0,0,0,14,8,6,11,6,5,0,0,0,0,0,0,0,0,0,0,11,6,5,25,5.699481865,18,8,10,7,6,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,25,7.692307692,4,3,1,2,0,2,19,11,8,6,3,3,25,2.702702702,0,0,0,7,4,3,16,9,7,0.0,171.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82.42029348138203,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,112.9364470123208,32.95499194336905,Alto-medio
Nicoya            ,50201,38706,17,20,37,8,4,4,3,2,1,13,5,8,4,2,2,17,9,8,12,3,9,8,5,3,0,0,0,0,0,0,0,20,8,12,37,10.3626943,35,16,19,2,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,37,2.197802197,12,5,7,2,1,1,23,11,12,14,6,8,37,6.306306306,0,0,0,13,8,5,14,4,10,0.0,114.2799,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,29.681081595136774,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,62.96954567007555,17.300111033852055,Bajo
Nicoya            ,50201,38718,15,15,30,1,0,1,0,0,0,5,2,3,0,0,0,24,13,11,6,2,4,0,0,0,0,0,0,0,0,0,0,6,2,4,30,3.10880829,26,15,11,4,0,4,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,30,4.395604395,4,2,2,1,0,1,25,13,12,5,2,3,30,2.252252252,0,0,0,12,7,5,14,6,8,0.0,142.84,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,56.050733703455094,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,80.22905991239386,22.70760344905942,Bajo-medio
Nicoya            ,50201,38725,81,96,177,16,9,7,2,1,1,26,16,10,13,6,7,129,53,76,39,24,15,9,4,5,0,0,0,0,0,0,0,48,28,20,177,24.870466321,158,74,84,19,7,12,12,6,6,2,1,1,0,0,0,1,0,1,0,0,0,5,1,4,0,0,0,177,20.879120879,55,26,29,9,3,6,113,52,61,64,29,35,177,28.828828828,7,3,4,58,40,18,65,15,50,53.846153846,94.4154,3,0,0,0,3,2,0,0,0,0,7,0,9,3,1,2,2,1,0,0,0,0,0,0,0,0,0,1,4,0,2,0,4,3,0,0,5,2,0,4,0,0,11.340110999596517,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,154.18634214553526,45.87879106826231,Alto
Nicoya            ,50201,38749,9,14,23,0,0,0,0,0,0,4,2,2,0,0,0,19,7,12,4,2,2,0,0,0,0,0,0,0,0,0,0,4,2,2,23,2.07253886,19,7,12,4,2,2,3,1,2,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,23,4.395604395,1,0,1,0,0,0,22,9,13,1,0,1,23,0.45045045,0,0,0,12,4,8,11,5,6,0.0,133.3198,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,47.26069578336335,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,68.60095076030213,19.06445850532933,Bajo-medio
Nicoya            ,50201,38761,31,33,64,0,0,0,12,6,6,19,10,9,4,0,4,29,15,14,35,16,19,0,0,0,0,0,0,0,0,0,0,35,16,19,64,18.134715025,55,24,31,9,7,2,2,2,0,3,3,0,1,1,0,2,0,2,0,0,0,2,2,0,0,0,0,64,9.89010989,15,7,8,8,3,5,41,21,20,23,10,13,64,10.36036036,0,0,0,24,19,5,28,7,21,0.0,111.8798,1,0,0,0,3,0,0,0,0,0,1,0,5,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,4,2,0,0,0,0,0,0,0,0,27.46505987164229,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,80.27190641858107,22.72102747443884,Bajo-medio
Nicoya            ,50201,38767,16,14,30,1,1,0,0,0,0,0,0,0,0,0,0,29,15,14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30,0.518134715,26,13,13,4,3,1,1,0,1,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,30,4.395604395,6,3,3,1,1,0,23,12,11,7,4,3,30,3.153153153,0,0,0,12,8,4,13,6,7,0.0,142.84,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,56.050733703455094,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,78.53928723839387,22.17818919152048,Bajo-medio
Nicoya            ,50201,38779,20,23,43,10,4,6,0,0,0,11,5,6,0,0,0,22,11,11,21,9,12,0,0,0,0,0,0,0,0,0,0,21,9,12,43,10.880829015,38,18,20,5,2,3,4,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,43,5.494505494,12,5,7,4,2,2,27,13,14,16,7,9,43,7.207207207,0,0,0,20,11,9,16,6,10,0.0,123.8,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,2,1,0,0,0,0,0,1,0,0,38.47102718483713,25.34547576996712,0.0,1.006780120006284,10.0,16.048979944241207,4.421661271938772,76.47523017277591,21.531509756040318,Bajo-medio
