DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,EXPOSICION_NORMALIZACION_BASE_100,CATEGORIA_EXPOSICION
Nicoya            ,50201,38581,104,48,56,16.96869851729819,Alto-medio
Nicoya            ,50201,38625,77,41,36,12.520593080724876,Alto-medio
Nicoya            ,50201,38672,25,14,11,3.9538714991762767,Bajo-medio
Nicoya            ,50201,38706,37,17,20,5.930807248764415,Medio
Nicoya            ,50201,38718,30,15,15,4.7775947281713345,Bajo-medio
Nicoya            ,50201,38725,177,81,96,28.995057660626028,Alto
Nicoya            ,50201,38749,23,9,14,3.6243822075782535,Bajo-medio
Nicoya            ,50201,38761,64,31,33,10.378912685337728,Medio
Nicoya            ,50201,38767,30,16,14,4.7775947281713345,Bajo-medio
Nicoya            ,50201,38779,43,20,23,6.919275123558484,Medio
Nicoya            ,50201,38838,24,11,13,3.789126853377265,Bajo-medio
Nicoya            ,50201,38851,93,44,49,15.15650741350906,Alto-medio
Nicoya            ,50201,38866,98,50,48,15.980230642504118,Alto-medio
Nicoya            ,50201,38875,70,37,33,11.367380560131796,Medio
Nicoya            ,50201,38954,24,11,13,3.789126853377265,Bajo-medio
Nicoya            ,50201,38979,52,25,27,8.40197693574959,Medio
Nicoya            ,50201,39014,38,16,22,6.095551894563426,Medio
Nicoya            ,50201,39016,129,64,65,21.087314662273478,Alto-medio
Nicoya            ,50201,39102,232,119,113,38.056013179571664,Alto
Nicoya            ,50201,39114,162,75,87,26.523887973640857,Alto
Nicoya            ,50201,39143,123,65,58,20.098846787479406,Alto-medio
Nicoya            ,50201,39157,29,13,16,4.612850082372323,Bajo-medio
Nicoya            ,50201,39169,130,70,60,21.25205930807249,Alto-medio
Nicoya            ,50201,39185,70,33,37,11.367380560131796,Medio
Nicoya            ,50201,39195,58,33,25,9.390444810543658,Medio
Nicoya            ,50201,39216,13,6,7,1.9769357495881383,Bajo
Nicoya            ,50201,39225,87,47,40,14.168039538714991,Alto-medio
Nicoya            ,50201,39280,86,40,46,14.00329489291598,Alto-medio
Nicoya            ,50201,39300,30,15,15,4.7775947281713345,Bajo-medio
Nicoya            ,50201,39307,85,39,46,13.838550247116968,Alto-medio
Nicoya            ,50201,39328,38,19,19,6.095551894563426,Medio
Nicoya            ,50201,39349,80,42,38,13.01482701812191,Alto-medio
Nicoya            ,50201,39399,73,44,29,11.86161449752883,Medio
Nicoya            ,50201,39449,105,54,51,17.1334431630972,Alto-medio
Nicoya            ,50201,39460,51,20,31,8.237232289950576,Medio
Nicoya            ,50201,39547,121,63,58,19.769357495881383,Alto-medio
Nicoya            ,50201,39582,64,28,36,10.378912685337728,Medio
Nicoya            ,50201,39662,256,122,134,42.00988467874794,Alto
Nicoya            ,50201,39673,79,39,40,12.850082372322898,Alto-medio
Nicoya            ,50201,39689,83,42,41,13.509060955518946,Alto-medio
Nicoya            ,50201,39729,70,33,37,11.367380560131796,Medio
Nicoya            ,50201,39752,5,2,3,0.6589785831960462,Bajo
Nicoya            ,50201,39786,145,65,80,23.72322899505766,Alto
Nicoya            ,50201,39835,49,24,25,7.907742998352553,Medio
Nicoya            ,50201,39836,38,20,18,6.095551894563426,Medio
Nicoya            ,50201,39865,20,9,11,3.130148270181219,Bajo-medio
Nicoya            ,50201,39941,28,15,13,4.448105436573312,Bajo-medio
Nicoya            ,50201,39970,86,43,43,14.00329489291598,Alto-medio
Nicoya            ,50201,40023,87,43,44,14.168039538714991,Alto-medio
Nicoya            ,50201,40028,229,111,118,37.56177924217463,Alto
Nicoya            ,50201,40055,70,30,40,11.367380560131796,Medio
Nicoya            ,50201,40077,39,20,19,6.260296540362438,Medio
Nicoya            ,50201,40094,48,22,26,7.742998352553541,Medio
Nicoya            ,50201,40194,140,60,80,22.899505766062603,Alto
Nicoya            ,50201,40223,23,12,11,3.6243822075782535,Bajo-medio
Nicoya            ,50201,40257,71,27,44,11.532125205930807,Medio
Nicoya            ,50201,40262,21,11,10,3.2948929159802307,Bajo-medio
Nicoya            ,50201,40288,58,31,27,9.390444810543658,Medio
Nicoya            ,50201,40294,37,20,17,5.930807248764415,Medio
Nicoya            ,50201,40305,66,34,32,10.70840197693575,Medio
Nicoya            ,50201,40319,16,8,8,2.471169686985173,Bajo-medio
Nicoya            ,50201,40320,17,9,8,2.6359143327841847,Bajo-medio
Nicoya            ,50201,40356,233,105,128,38.220757825370676,Alto
Nicoya            ,50201,40362,77,37,40,12.520593080724876,Alto-medio
Nicoya            ,50201,40391,22,10,12,3.459637561779242,Bajo-medio
Nicoya            ,50201,40397,107,52,55,17.462932454695224,Alto-medio
Nicoya            ,50201,40405,99,45,54,16.14497528830313,Alto-medio
Nicoya            ,50201,40413,70,26,44,11.367380560131796,Medio
Nicoya            ,50201,40484,18,8,10,2.800658978583196,Bajo-medio
Nicoya            ,50201,40490,62,29,33,10.049423393739703,Medio
Nicoya            ,50201,40513,53,24,29,8.5667215815486,Medio
Nicoya            ,50201,40556,41,15,26,6.589785831960461,Medio
Nicoya            ,50201,40609,76,33,43,12.355848434925864,Alto-medio
Nicoya            ,50201,40637,39,22,17,6.260296540362438,Medio
Nicoya            ,50201,40638,12,4,8,1.8121911037891267,Bajo
Nicoya            ,50201,40642,54,32,22,8.731466227347612,Medio
Nicoya            ,50201,40670,17,6,11,2.6359143327841847,Bajo-medio
Nicoya            ,50201,40712,38,19,19,6.095551894563426,Medio
Nicoya            ,50201,40725,55,29,26,8.896210873146623,Medio
Nicoya            ,50201,40732,64,32,32,10.378912685337728,Medio
Nicoya            ,50201,40772,45,20,25,7.248764415156507,Medio
Nicoya            ,50201,40786,13,5,8,1.9769357495881383,Bajo
Nicoya            ,50201,40790,90,42,48,14.662273476112025,Alto-medio
Nicoya            ,50201,40804,67,30,37,10.873146622734762,Medio
Nicoya            ,50201,41017,89,36,53,14.497528830313014,Alto-medio
Nicoya            ,50201,41058,97,41,56,15.815485996705107,Alto-medio
Nicoya            ,50201,41133,73,33,40,11.86161449752883,Medio
Nicoya            ,50201,41237,44,17,27,7.0840197693574956,Medio
Nicoya            ,50201,41268,20,5,15,3.130148270181219,Bajo-medio
Nicoya            ,50201,41347,44,18,26,7.0840197693574956,Medio
Nicoya            ,50201,41373,68,35,33,11.037891268533773,Medio
Nicoya            ,50201,41381,27,13,14,4.2833607907743,Bajo-medio
Nicoya            ,50201,41398,268,130,138,43.986820428336074,Alto
Nicoya            ,50201,41430,32,18,14,5.107084019769357,Bajo-medio
Nicoya            ,50201,41444,10,5,5,1.4827018121911038,Bajo
Nicoya            ,50201,41468,47,17,30,7.57825370675453,Medio
Nicoya            ,50201,41473,146,70,76,23.88797364085667,Alto
