DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Nicoya            ,50201,38581,104,48,56,26.218084689487757,16.96869851729819,75.166,118.35278320678594,43.58420031759056,Alto-medio
Nicoya            ,50201,38625,77,41,36,25.41076015256426,12.520593080724876,73.235,111.16635323328913,40.72450507340488,Alto-medio
Nicoya            ,50201,38672,25,14,11,32.95499194336905,3.9538714991762767,66.039,102.94786344254533,37.4541223860825,Medio
Nicoya            ,50201,38706,37,17,20,17.300111033852055,5.930807248764415,57.467,80.69791828261647,28.600204294359944,Bajo-medio
Nicoya            ,50201,38718,30,15,15,22.70760344905942,4.7775947281713345,69.265,96.75019817723076,34.987886167314905,Bajo-medio
Nicoya            ,50201,38725,177,81,96,45.87879106826231,28.995057660626028,66.65,141.52384872888834,52.80465972798522,Alto
Nicoya            ,50201,38749,23,9,14,19.06445850532933,3.6243822075782535,75.875,98.56384071290759,35.7095887307651,Bajo-medio
Nicoya            ,50201,38761,64,31,33,22.72102747443884,10.378912685337728,74.711,107.81094015977656,39.38928593900993,Medio
Nicoya            ,50201,38767,30,16,14,22.17818919152048,4.7775947281713345,70.931,97.88678391969181,35.44016759972461,Bajo-medio
Nicoya            ,50201,38779,43,20,23,21.531509756040318,6.919275123558484,76.073,104.5237848795988,38.081228620384145,Medio
Nicoya            ,50201,38838,24,11,13,22.21898889964092,3.789126853377265,74.875,100.88311575301819,36.63249757794274,Medio
Nicoya            ,50201,38851,93,44,49,27.95840526098845,15.15650741350906,70.569,113.68391267449752,41.72631720926783,Alto-medio
Nicoya            ,50201,38866,98,50,48,29.33173364620634,15.980230642504118,75.558,120.86996428871046,44.58586189298765,Alto-medio
Nicoya            ,50201,38875,70,37,33,21.59309344842327,11.367380560131796,74.257,107.21747400855507,39.15312802242378,Medio
Nicoya            ,50201,38954,24,11,13,33.579778969253574,3.789126853377265,72.516,109.88490582263084,40.21457885420449,Medio
Nicoya            ,50201,38979,52,25,27,30.539648692565187,8.40197693574959,74.472,113.41362562831478,41.61876191639163,Alto-medio
Nicoya            ,50201,39014,38,16,22,30.44153461174161,6.095551894563426,71.071,107.60808650630503,39.30856440825855,Medio
Nicoya            ,50201,39016,129,64,65,28.20090159038275,21.087314662273478,75.439,124.72721625265622,46.12077771873169,Alto-medio
Nicoya            ,50201,39102,232,119,113,70.34425773586649,38.056013179571664,74.517,182.91727091543817,69.27633940816,Alto
Nicoya            ,50201,39114,162,75,87,30.091896361211557,26.523887973640857,75.256,131.8717843348524,48.96381486537707,Alto
Nicoya            ,50201,39143,123,65,58,33.19662280883166,20.098846787479406,75.603,128.89846959631106,47.78064407701182,Alto
Nicoya            ,50201,39157,29,13,16,25.404223135245136,4.612850082372323,65.169,95.18607321761746,34.36547410391011,Bajo-medio
Nicoya            ,50201,39169,130,70,60,36.61791744697089,21.25205930807249,55.863,113.73297675504338,41.745841273137486,Alto-medio
Nicoya            ,50201,39185,70,33,37,16.238265061006153,11.367380560131796,75.795,103.40064562113795,37.634297945789974,Medio
Nicoya            ,50201,39195,58,33,25,18.470141543126086,9.390444810543658,57.538,85.39858635366974,30.470740593588026,Bajo-medio
