DISTRITO,COD_DIST,UGM,P90_Mean,P90_Dstdev,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,CATEGORIA_AMENAZA_LLUVIOSA
Nicoya            ,50201,38581,2001.258,0.643,1.372,Bajo Medio
Nicoya            ,50201,38625,2100.651,19.227,6.1,Bajo Medio
Nicoya            ,50201,38672,2432.131,35.205,21.87,Medio
Nicoya            ,50201,38706,2826.564,9.993,40.636,Alto Medio
Nicoya            ,50201,38718,2287.495,0.0,14.989,Medio
Nicoya            ,50201,38725,2396.412,39.933,20.171,Medio
Nicoya            ,50201,38749,1983.066,0.0,0.506,Bajo
Nicoya            ,50201,38761,2035.757,13.776,3.013,Bajo Medio
Nicoya            ,50201,38767,2126.93,4.848,7.351,Medio
Nicoya            ,50201,38779,1974.473,0.462,0.097,Bajo
Nicoya            ,50201,38838,2034.777,13.169,2.966,Bajo Medio
Nicoya            ,50201,38851,2156.49,14.731,8.757,Medio
Nicoya            ,50201,38866,1987.559,4.427,0.72,Bajo
Nicoya            ,50201,38875,2050.053,10.551,3.693,Bajo Medio
Nicoya            ,50201,38954,2142.09,42.831,8.072,Medio
Nicoya            ,50201,38979,2041.127,11.567,3.268,Bajo Medio
Nicoya            ,50201,39014,2121.953,1.618,7.114,Medio
Nicoya            ,50201,39016,1990.453,3.394,0.858,Bajo
Nicoya            ,50201,39102,2027.365,18.01,2.614,Bajo Medio
Nicoya            ,50201,39114,2000.919,5.363,1.355,Bajo Medio
Nicoya            ,50201,39143,1983.919,1.145,0.547,Bajo
Nicoya            ,50201,39157,2357.769,20.859,18.333,Medio
Nicoya            ,50201,39169,3015.987,13.227,49.648,Alto Medio
Nicoya            ,50201,39185,1982.156,1.557,0.463,Bajo
Nicoya            ,50201,39195,2822.349,7.117,40.435,Alto Medio
Nicoya            ,50201,39216,2517.346,10.459,25.925,Medio
Nicoya            ,50201,39225,2017.98,18.638,2.167,Bajo Medio
Nicoya            ,50201,39280,3120.08,40.208,54.6,Alto Medio
Nicoya            ,50201,39300,1988.557,7.111,0.767,Bajo
Nicoya            ,50201,39307,2144.738,17.076,8.198,Medio
Nicoya            ,50201,39328,2036.796,0.0,3.062,Bajo Medio
Nicoya            ,50201,39349,2002.438,5.403,1.428,Bajo Medio
Nicoya            ,50201,39399,2828.264,54.2,40.717,Alto Medio
Nicoya            ,50201,39449,2843.253,50.41,41.43,Alto Medio
Nicoya            ,50201,39460,2236.322,9.72,12.555,Medio
Nicoya            ,50201,39547,2186.909,37.742,10.204,Medio
Nicoya            ,50201,39582,1972.427,1.502,0.0,Bajo
Nicoya            ,50201,39662,2216.261,26.438,11.6,Medio
Nicoya            ,50201,39673,2226.765,46.545,12.1,Medio
Nicoya            ,50201,39689,2107.073,6.761,6.406,Bajo Medio
