DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Nicoya            ,50201,38581,104,48,56,26.218084689487757,16.96869851729819,1.372,44.55878320678595,17.04975809475538,Medio
Nicoya            ,50201,38625,77,41,36,25.41076015256426,12.520593080724876,6.1,44.03135323328914,16.81855099938646,Medio
Nicoya            ,50201,38672,25,14,11,32.95499194336905,3.9538714991762767,21.87,58.77886344254533,23.28335044337605,Medio
Nicoya            ,50201,38706,37,17,20,17.300111033852055,5.930807248764415,40.636,63.866918282616474,25.513778063655657,Medio
Nicoya            ,50201,38718,30,15,15,22.70760344905942,4.7775947281713345,14.989,42.474198177230754,16.13594797028033,Bajo-medio
Nicoya            ,50201,38725,177,81,96,45.87879106826231,28.995057660626028,20.171,95.04484872888833,39.18110661971911,Alto-medio
Nicoya            ,50201,38749,23,9,14,19.06445850532933,3.6243822075782535,0.506,23.194840712907585,7.684543112963796,Bajo
Nicoya            ,50201,38761,64,31,33,22.72102747443884,10.378912685337728,3.013,36.112940159776564,13.34739202349409,Bajo-medio
Nicoya            ,50201,38767,30,16,14,22.17818919152048,4.7775947281713345,7.351,34.30678391969182,12.555635469948559,Bajo-medio
Nicoya            ,50201,38779,43,20,23,21.531509756040318,6.919275123558484,0.097,28.547784879598805,10.031089070993556,Bajo
Nicoya            ,50201,38838,24,11,13,22.21898889964092,3.789126853377265,2.966,28.974115753018186,10.217977810470904,Bajo
Nicoya            ,50201,38851,93,44,49,27.95840526098845,15.15650741350906,8.757,51.87191267449751,20.255581630107937,Medio
Nicoya            ,50201,38866,98,50,48,29.33173364620634,15.980230642504118,0.72,46.031964288710455,17.69554983208498,Medio
Nicoya            ,50201,38875,70,37,33,21.59309344842327,11.367380560131796,3.693,36.653474008555065,13.584343405487203,Bajo-medio
Nicoya            ,50201,38954,24,11,13,33.579778969253574,3.789126853377265,8.072,45.44090582263084,17.436450201797655,Medio
Nicoya            ,50201,38979,52,25,27,30.539648692565187,8.40197693574959,3.268,42.209625628314775,16.019968496941615,Bajo-medio
Nicoya            ,50201,39014,38,16,22,30.44153461174161,6.095551894563426,7.114,43.651086506305035,16.651855191735375,Bajo-medio
Nicoya            ,50201,39016,129,64,65,28.20090159038275,21.087314662273478,0.858,50.146216252656224,19.499095883692778,Medio
Nicoya            ,50201,39102,232,119,113,70.34425773586649,38.056013179571664,2.614,111.01427091543816,46.181550098486454,Alto-medio
Nicoya            ,50201,39114,162,75,87,30.091896361211557,26.523887973640857,1.355,57.97078433485241,22.929116454588307,Medio
Nicoya            ,50201,39143,123,65,58,33.19662280883166,20.098846787479406,0.547,53.84246959631106,21.119405767994913,Medio
Nicoya            ,50201,39157,29,13,16,25.404223135245136,4.612850082372323,18.333,48.35007321761746,18.71172877361908,Medio
Nicoya            ,50201,39169,130,70,60,36.61791744697089,21.25205930807249,49.648,107.51797675504338,44.64889541824371,Alto-medio
Nicoya            ,50201,39185,70,33,37,16.238265061006153,11.367380560131796,0.463,28.06864562113795,9.821050958272187,Bajo
Nicoya            ,50201,39195,58,33,25,18.470141543126086,9.390444810543658,40.435,68.29558635366975,27.45515328409049,Medio
Nicoya            ,50201,39216,13,6,7,29.124774126964475,1.9769357495881383,25.925,57.026709876552616,22.515266798171687,Medio
Nicoya            ,50201,39225,87,47,40,29.536570780645967,14.168039538714991,2.167,45.87161031936096,17.625256186772464,Medio
Nicoya            ,50201,39280,86,40,46,55.037041492472795,14.00329489291598,54.6,123.64033638538876,51.716381393512876,Alto
Nicoya            ,50201,39300,30,15,15,25.740570418175047,4.7775947281713345,0.767,31.28516514634638,11.231062095277384,Bajo
Nicoya            ,50201,39307,85,39,46,17.853495475760766,13.838550247116968,8.198,39.89004572287774,15.003144730069637,Bajo-medio
Nicoya            ,50201,39328,38,19,19,32.82857748711807,6.095551894563426,3.062,41.986129381681494,15.921995456715354,Bajo-medio
Nicoya            ,50201,39349,80,42,38,31.85884157109575,13.01482701812191,1.428,46.301668589217655,17.813778888191425,Medio
Nicoya            ,50201,39399,73,44,29,46.793828644265545,11.86161449752883,40.717,99.37244314179438,41.07817463712641,Alto-medio
Nicoya            ,50201,39449,105,54,51,31.839946493322298,17.1334431630972,41.43,90.4033896564195,37.14645116905438,Alto-medio
Nicoya            ,50201,39460,51,20,31,26.50832275682344,8.237232289950576,12.555,47.300555046774015,18.25165623316631,Medio
Nicoya            ,50201,39547,121,63,58,53.21786520782455,19.769357495881383,10.204,83.19122270370593,33.984886115409005,Alto-medio
Nicoya            ,50201,39582,64,28,36,24.296797827633302,10.378912685337728,0.0,34.67571051297103,12.717360154404616,Bajo-medio
Nicoya            ,50201,39662,256,122,134,32.75693887440811,42.00988467874794,11.6,86.36682355315604,35.376959917329316,Alto-medio
Nicoya            ,50201,39673,79,39,40,17.848155648000606,12.850082372322898,12.1,42.7982380203235,16.277995852786063,Bajo-medio
Nicoya            ,50201,39689,83,42,41,19.483805058179055,13.509060955518946,6.406,39.398866013698,14.787828499346764,Bajo-medio
Nicoya            ,50201,39729,70,33,37,12.517348076267604,11.367380560131796,8.166,32.0507286363994,11.566658704780128,Bajo
Nicoya            ,50201,39752,5,2,3,34.71740766771487,0.6589785831960462,38.042,73.41838625091091,29.70081193815729,Medio
