DISTRITO,SEXO,POBLACION
Liberia           ,Mujeres,27280
Liberia           ,Hombres,26102
Cañas Dulces      ,Hombres,1630
Cañas Dulces      ,Mujeres,1600
Curubandé         ,Mujeres,1299
Curubandé         ,Hombres,1228
Nacascolo         ,Mujeres,1145
Nacascolo         ,Hombres,1104
Mayorga           ,Mujeres,822
Mayorga           ,Hombres,777
