DISTRITO,CARENCIAS,SEXO,POBLACION
Liberia           ,1 carencia,Mujeres,5596
Liberia           ,1 carencia,Hombres,5129
Liberia           ,2 carencias,Mujeres,1738
Liberia           ,2 carencias,Hombres,1679
Liberia           ,3 carencias,Hombres,552
Liberia           ,3 carencias,Mujeres,519
Cañas Dulces      ,1 carencia,Hombres,393
Cañas Dulces      ,1 carencia,Mujeres,376
Nacascolo         ,1 carencia,Mujeres,323
Nacascolo         ,1 carencia,Hombres,281
Curubandé         ,1 carencia,Mujeres,280
Curubandé         ,1 carencia,Hombres,277
Mayorga           ,1 carencia,Mujeres,217
Mayorga           ,1 carencia,Hombres,216
Cañas Dulces      ,2 carencias,Mujeres,148
Cañas Dulces      ,2 carencias,Hombres,144
Curubandé         ,2 carencias,Mujeres,133
Liberia           ,4 carencias,Hombres,131
Liberia           ,4 carencias,Mujeres,129
Curubandé         ,2 carencias,Hombres,123
Nacascolo         ,2 carencias,Hombres,102
Mayorga           ,2 carencias,Mujeres,90
Mayorga           ,2 carencias,Hombres,81
Nacascolo         ,2 carencias,Mujeres,71
Cañas Dulces      ,3 carencias,Hombres,35
Curubandé         ,3 carencias,Mujeres,35
Curubandé         ,3 carencias,Hombres,32
Nacascolo         ,3 carencias,Hombres,27
Cañas Dulces      ,3 carencias,Mujeres,27
Nacascolo         ,4 carencias,Hombres,24
Mayorga           ,3 carencias,Mujeres,22
Nacascolo         ,3 carencias,Mujeres,19
Mayorga           ,3 carencias,Hombres,16
Nacascolo         ,4 carencias,Mujeres,8
Curubandé         ,4 carencias,Mujeres,6
Cañas Dulces      ,4 carencias,Hombres,5
Mayorga           ,4 carencias,Mujeres,5
Cañas Dulces      ,4 carencias,Mujeres,4
Curubandé         ,4 carencias,Hombres,3
Mayorga           ,4 carencias,Hombres,1
